Reporting Account Short Number,Reporting Account Name,Reporting Account Indicator,Source Account Short Number,Source Account Name,As of Date,Security Number,Country of Risk Exposure Code,Country of Risk Exposure Name,Segment Description,Category Description,Sector Description,Industry Description,Security Description 1,Security Description 2,Custom,Account Base Currency,Exch Rate,Issue Currency,Traded Shares/Par,Amort Cost Base,Amort Cost Local,Price Base,Price Local,Market Value Base,Market Value Local,Net Income Receivable Base,Net Income Receivable Local,Market Value with Accrual Base,Coupon Rate,Maturity Date,Unrealized Market Gain/Loss Base,Unrealized Market Gain/Loss Local,Unrealized Currency Gain/Loss,Total Unrealized Gain/Loss,% of Market Value,ISIN,Sedol,Cusip,Ticker,Custody Account Number,Income Currency,Security Identifier,Underlying Security ID,FAS 157 Level,Capital Shares Receivable,Capital Shares Payable,Total Market Value w/ Cap Shares Rec/Pay
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,410345102,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - CONSUMER SERVICES,EQUITIES - UNITED STATES - CONSUMER SERVICES,HANESBRANDS INC,.,EQUITIES,CAD,0.765902,USD,20636,416939.38,314513.17,20.903457,16.01,431363.73,330382.36,0,0,431363.73,0,,20719.61,15869.19,-6295.26,14424.35,,US4103451021,B1BJSL9,410345102,HBI,YVRF6001002,USD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,44267D107,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,HOWARD HUGHES CORP/THE,.,EQUITIES,CAD,0.765902,USD,6900,1189251.42,904308.15,147.146755,112.7,1015312.61,777630,0,0,1015312.61,0,,-165397.33,-126678.15,-8541.48,-173938.81,,US44267D1072,B5VR4H9,44267D107,HHC,YVRF6001002,USD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,47215P106,CN,CHINA,EQUITIES,EQUITIES - CHINA,EQUITIES - CHINA - CONSUMER SERVICES,EQUITIES - CHINA - CONSUMER SERVICES,JD.COM INC,ADR,EQUITIES,CAD,0.765902,USD,21900,883614.75,671848.2,41.428275,31.73,907279.21,694887,0,0,907279.21,0,,30080.61,23038.8,-6416.15,23664.46,,US47215P1066,BMM27D9,47215P106,JD,YVRF6001002,USD,ADR,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,48251W104,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,KKR & CO INC,.,EQUITIES,CAD,0.765902,USD,33968,1188880.53,904737.93,37.472155,28.7,1272854.16,974881.6,0,0,1272854.16,0,,91583.09,70143.67,-7609.46,83973.63,,US48251W1045,BG1FRR1,48251W104,KKR,YVRF6001002,USD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,489398107,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,KENNEDY-WILSON HOLDINGS INC,.,EQUITIES,CAD,0.765902,USD,3721,106406.69,80513.47,29.468521,22.57,109652.36,83982.97,0,0,109652.36,0,,4529.94,3469.5,-1284.27,3245.67,,US4893981070,B298495,489398107,KW,YVRF6001002,USD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,52177G102,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - COMMUNICATION SERVICES,EQUITIES - UNITED STATES - COMMUNICATION SERVICES,LEAF GROUP LTD,.,EQUITIES,CAD,0.765902,USD,78542,628535.69,476654.39,4.373928,3.35,343537.01,263115.7,0,0,343537.01,0,,-278806.78,-213538.69,-6191.9,-284998.68,,US52177G1022,BDD8XX5,52177G102,LEAF,YVRF6001002,USD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,596278101,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - INDUSTRIAL PRODUCTS,EQUITIES - UNITED STATES - INDUSTRIAL PRODUCTS,MIDDLEBY CORP/THE,.,EQUITIES,CAD,0.765902,USD,4200,650782.01,491211.84,155.37235,119,652563.87,499800,0,0,652563.87,0,,11213.13,8588.16,-9431.27,1781.86,,US5962781010,2590930,596278101,MIDD,YVRF6001002,USD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,78467J100,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - TECHNOLOGY,EQUITIES - UNITED STATES - TECHNOLOGY,SS&C TECHNOLOGIES HOLDINGS INC,.,EQUITIES,CAD,0.765902,USD,18800,1349149.62,1026330.44,67.580444,51.76,1270512.35,973088,0,0,1270512.35,0,,-69516,-53242.44,-9121.27,-78637.27,,US78467J1007,B58YSC6,78467J100,SSNC,YVRF6001002,USD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,80007P869,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - ENERGY,EQUITIES - UNITED STATES - ENERGY,SANDRIDGE ENERGY INC,.,EQUITIES,CAD,0.765902,USD,83270,714170.93,541670.21,6.084329,4.66,506642.08,388038.2,0,0,506642.08,0,,-200589.64,-153632.01,-6939.21,-207528.85,,US80007P8692,BD1XH30,80007P869,SD,YVRF6001002,USD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,896945201,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - CONSUMER SERVICES,EQUITIES - UNITED STATES - CONSUMER SERVICES,TRIPADVISOR INC,.,EQUITIES,CAD,0.765902,USD,15865,956800.91,728822.3,52.904938,40.52,839336.84,642849.8,0,0,839336.84,0,,-112250,-85972.5,-5214.07,-117464.07,,US8969452015,B6ZC3N6,896945201,TRIP,YVRF6001002,USD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,98954M200,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - TECHNOLOGY,EQUITIES - UNITED STATES - TECHNOLOGY,ZILLOW GROUP INC,.,EQUITIES,CAD,0.765902,USD,21300,1348510.05,1026789.9,45.658581,34.97,972527.76,744861,0,0,972527.76,0,,-368100.47,-281928.9,-7881.82,-375982.29,,US98954M2008,BYXJF62,98954M200,Z,YVRF6001002,USD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,CASH,CA,CANADA,CASH & TEMPORARY,CANADA,CANADA,CANADA,,,CASH,CAD,1,CAD,666984.33,666984.33,666984.33,100,1,666984.33,666984.33,0,0,666984.33,0,,0,0,0,0,,,,,,YVRF6001002,CAD,,,,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,EIBYSLCX9,NL,NETHERLANDS,EQUITIES,EQUITIES - NETHERLANDS,EQUITIES - NETHERLANDS - FINANCIALS SERVICES,EQUITIES - NETHERLANDS - FINANCIALS SERVICES,EXOR NV,.,EQUITIES,CAD,0.689846,EUR,13300,1226063.66,836958.34,91.237693,62.94,1213461.31,837102,0,0,1213461.31,0,,208.25,143.66,-12810.6,-12602.35,,NL0012059018,BYSLCX9,,EXO,YVRF6001002,EUR,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,EXB4L8490,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,BURFORD CAPITAL LTD,.,EQUITIES,CAD,0.595523,GBP,72260,1413789.87,881271.24,14.27317,8.5,1031379.26,614210,0,0,1031379.26,0,,-448448.28,-267061.24,66037.67,-382410.61,,GG00B4L84979,B4L8497,G17977102,9BF,YVRF6001002,USD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,G9001E102,BM,BERMUDA,EQUITIES,EQUITIES - BERMUDA,EQUITIES - BERMUDA - COMMUNICATION SERVICES,EQUITIES - BERMUDA - COMMUNICATION SERVICES,LIBERTY LATIN AMERICA LTD,.,EQUITIES,CAD,0.765902,USD,22200,486018.17,368251.38,24.533164,18.79,544636.23,417138,0,0,544636.23,0,,63828.82,48886.62,-5210.76,58618.06,,BMG9001E1021,BD9Q3P5,,LILA,YVRF6001002,USD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,GBP,GB,UNITED KINGDOM,CASH & TEMPORARY,CASH & TEMPORARY - UNITED KINGDOM CASH,CASH & TEMPORARY - UNITED KINGDOM CASH,CASH & TEMPORARY - UNITED KINGDOM CASH,BRITISH POUND,,CASH & TEMPORARY,CAD,0.595523,GBP,-90959.63,-146419.39,-90959.63,0.595523,1,-152739.09,-90959.63,0,0,-152739.09,0,,0,0,-6319.7,-6319.7,,,,,,YVRF6001002,GBP,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC2159795,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - MATERIALS,EQUITIES - CANADA - MATERIALS - MATERIALS,CCL INDUSTRIES INC,CL B,EQUITIES,CAD,1,CAD,20200,1319840.87,1319840.87,53.9,53.9,1088780,1088780,0,0,1088780,0,,-231060.87,-231060.87,0,-231060.87,,CA1249003098,2159795,124900309,CCDB F,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC2282233,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - TECHNOLOGY,EQUITIES - CANADA - TECHNOLOGY - SOFTWARE & SERVICES,ENGHOUSE SYSTEMS LTD,.,EQUITIES,CAD,1,CAD,18607,651435.05,651435.05,37.47,37.47,697204.29,697204.29,0,0,697204.29,0,,45769.24,45769.24,0,45769.24,,CA2929491041,2282237,292949104,EGHSF,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC2290590,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - ENERGY,EQUITIES - CANADA - ENERGY - ENERGY,SURGE ENERGY INC,.,EQUITIES,CAD,1,CAD,575812,1423938.85,1423938.85,1.035,1.035,595965.42,595965.42,0,0,595965.42,0,,-827973.43,-827973.43,0,-827973.43,,CA86880Y1097,2290597,86880Y109,SGY,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC2418969,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - TECHNOLOGY,EQUITIES - CANADA - TECHNOLOGY - TECHNOLOGY HARDWARE & EQUIPMENT,SIERRA WIRELESS INC,.,EQUITIES,CAD,1,CAD,30965,486590.9,486590.9,14.46,14.46,447753.9,447753.9,0,0,447753.9,0,,-38837,-38837,0,-38837,,CA8265161064,2418968,826516106,SWIR,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC2583671,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - TECHNOLOGY,EQUITIES - CANADA - TECHNOLOGY - SOFTWARE & SERVICES,SANGOMA TECHNOLOGIES CORP,.,EQUITIES,CAD,1,CAD,439000,669707.22,669707.22,1.85,1.85,812150,812150,0,0,812150,0,,142442.78,142442.78,0,142442.78,,CA80100R1010,2583673,80100R101,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC2659513,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - FINANCIALS SERVICES,EQUITIES - CANADA - FINANCIALS SERVICES - DIVERSIFIED FINANCIALS,ONEX CORP,SUB-VTG,EQUITIES,CAD,1,CAD,11800,939907.76,939907.76,76.8,76.8,906240,906240,1180,1180,907420,0,,-33667.76,-33667.76,0,-33667.76,,CA68272K1030,2659518,68272K103,ONEX F,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC2763885,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - INDUSTRIAL PRODUCTS,EQUITIES - CANADA - INDUSTRIAL PRODUCTS - CAPITAL GOODS,SNC-LAVALIN GROUP INC,.,EQUITIES,CAD,1,CAD,18874,325478.36,325478.36,19.86,19.86,374837.64,374837.64,0,0,374837.64,0,,49359.28,49359.28,0,49359.28,,CA78460T1057,2763884,78460T105,SNC,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC2873007,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - MATERIALS,EQUITIES - CANADA - MATERIALS - MATERIALS,TASEKO MINES LTD,.,EQUITIES,CAD,1,CAD,1756250,2169575.7,2169575.7,0.58,0.58,1018625,1018625,0,0,1018625,0,,-1150950.7,-1150950.7,0,-1150950.7,,CA8765111064,2873006,876511106,TGB,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC2972858,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - MATERIALS,EQUITIES - CANADA - MATERIALS - MATERIALS,WINPAK LTD,.,EQUITIES,CAD,1,CAD,24943,1118507.3,1118507.3,46.27,46.27,1154112.61,1154112.61,0,0,1154112.61,0,,35605.31,35605.31,0,35605.31,,CA97535P1045,2972851,97535P104,WIPKF,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC9269175,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - TECHNOLOGY,EQUITIES - CANADA - TECHNOLOGY - SOFTWARE & SERVICES,STAGE HOLDCO LTD,CL A,EQUITIES,CAD,1,CAD,36067710,180338.55,180338.55,0.00464,0.00464,167338.67,167338.67,0,0,167338.67,0,,-12999.88,-12999.88,0,-12999.88,,CA85255T1093,,85255T109,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC9319459,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - ENERGY,EQUITIES - CANADA - ENERGY - ENERGY,PETROSHALE INC,.,EQUITIES,CAD,1,CAD,1770691,2231182.01,2231182.01,0.475,0.475,841078.23,841078.23,0,0,841078.23,0,,-1390103.78,-1390103.78,0,-1390103.78,,CA71676H1064,,71676H106,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC99VV694,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - ENERGY,EQUITIES - CANADA - ENERGY - ENERGY,PRAIRIE PROVIDENT RES INC,WT 11-OCT-2020,EQUITIES,CAD,1,CAD,641000,0,0,0,0,0.06,0.06,0,0,0.06,0,,0.06,0.06,0,0.06,,CA73965Q1366,,73965Q136,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC99VVS25,CA,CANADA,FIXED INCOME,FIXED INCOME - CDN CORPORATE BONDS,FIXED INCOME - CDN CORPORATE BONDS - CONVERTIBLE,FIXED INCOME - CDN CORPORATE BONDS - CONVERTIBLE,ROCKSHIELD ENGINEERED WOOD,30.000% 15-NOV-2018 CONV NT,FIXED INCOME,CAD,1,CAD,45941,45941,45941,0,0,0,0,0,0,0,30,11/15/2018,-45941,-45941,0,-45941,,QY9999VVS256,,,,YVRF6001002,CAD,,,2,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC99VWNZ5,CA,CANADA,FIXED INCOME,FIXED INCOME - CDN CORPORATE BONDS,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,WOLVERINE ENERGY AND,9.000% 31-DEC-2021,FIXED INCOME,CAD,1,CAD,500000,500000,500000,95.34,95.34,476700,476700,14794.52,14794.52,491494.52,9,12/31/2021,-23300,-23300,0,-23300,,CA977890AA02,,977890AA0,,YVRF6001002,CAD,,,2,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC99VWP18,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - ENERGY,EQUITIES - CANADA - ENERGY - ENERGY,BRIKO ENERGY CORP,WT 26-JUN-2020,EQUITIES,CAD,1,CAD,509660,0,0,0,0,0.05,0.05,0,0,0.05,0,6/28/2019,0.05,0.05,0,0.05,,CA10952P1190,,10952P119,,YVRF6001002,CAD,,NC99VWP00,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC99WD8Y6,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - MATERIALS,EQUITIES - CANADA - MATERIALS - MATERIALS,1038050 B.C LTD.,.,EQUITIES,CAD,1,CAD,300000,300000,300000,0,0,0.03,0.03,0,0,0.03,0,,-299999.97,-299999.97,0,-299999.97,,QY9999WD8Y60,,,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC99WNJ63,CA,CANADA,FIXED INCOME,FIXED INCOME - CDN CORPORATE BONDS,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,ROCKSHIELD ENGINEERED WOOD,18.000% 15-SEP-2017,FIXED INCOME,CAD,1,CAD,300000,300000,300000,44.49,44.49,133470,133470,0,0,133470,18,9/15/2017,-166530,-166530,0,-166530,,,,,,YVRF6001002,CAD,,,2,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC99WPVL1,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - MATERIALS,EQUITIES - CANADA - MATERIALS - MATERIALS,DIAMCOR MINING INC,WT 09-JUN-2020,EQUITIES,CAD,1,CAD,588235,0,0,0.000001,0.000001,0.59,0.59,0,0,0.59,0,,0.59,0.59,0,0.59,,,,,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC99WRXS0,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - MATERIALS,EQUITIES - CANADA - MATERIALS - MATERIALS,MIRAMONT RESOURCES CORP,WT 14-NOV-2019,EQUITIES,CAD,1,CAD,666666,0,0,0,0,0.07,0.07,0,0,0.07,0,,0.07,0.07,0,0.07,,CA6046671138,,604667113,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC99WRYY6,CA,CANADA,FIXED INCOME,FIXED INCOME - CDN CORPORATE BONDS,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,FIXED INCOME - CDN CORPORATE BONDS - CANADA OTHER CORPORATE,ROCKSHIELD ENGINEERED WOOD,30.000% 31-JAN-2018 CONV NT,FIXED INCOME,CAD,1,CAD,93635,93635,93635,0,0,0,0,0,0,0,30,1/31/2018,-93635,-93635,0,-93635,,QY9999WRYY62,,,,YVRF6001002,CAD,,,2,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC99WSZE7,CA,CANADA,FIXED INCOME,FIXED INCOME - CDN CORPORATE BONDS,FIXED INCOME - CDN CORPORATE BONDS - CONVERTIBLE,FIXED INCOME - CDN CORPORATE BONDS - CONVERTIBLE,ROCKSHIELD ENGINEERED WOOD,30.000% 28-FEB-2018,FIXED INCOME,CAD,1,CAD,35841,35841,35841,0,0,0,0,0,0,0,30,2/28/2018,-35841,-35841,0,-35841,,QY9999WSZE72,,,,YVRF6001002,CAD,,,2,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NC99WUSY6,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - MATERIALS,EQUITIES - CANADA - MATERIALS - MATERIALS,DIAMCOR MINING INC,WT 20-JUN-2021,EQUITIES,CAD,1,CAD,211421,0,0,0,0,0.02,0.02,0,0,0.02,0,,0.02,0.02,0,0.02,,QY9999WUSY65,,,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NCB078C75,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - ENERGY,EQUITIES - CANADA - ENERGY - ENERGY,PINE CLIFF ENERGY LTD,.,EQUITIES,CAD,1,CAD,5491387,2058895.12,2058895.12,0.125,0.125,686423.38,686423.38,0,0,686423.38,0,,-1372471.74,-1372471.74,0,-1372471.74,,CA7225241057,B078C77,722524105,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NCB1Z73Z2,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - COMMUNICATION SERVICES,EQUITIES - CANADA - COMMUNICATION SERVICES - TELECOMMUNICATION SERVICES,TERAGO INC,.,EQUITIES,CAD,1,CAD,15584,135799.14,135799.14,9.2,9.2,143372.8,143372.8,0,0,143372.8,0,,7573.66,7573.66,0,7573.66,,CA88079F1071,B1Z73Z8,88079F107,TRAGF,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NCB6R2RY8,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - MATERIALS,EQUITIES - CANADA - MATERIALS - MATERIALS,RED EAGLE MINING CORP,.,EQUITIES,CAD,1,CAD,428759,215950.73,215950.73,0,0,0.04,0.04,0,0,0.04,0,,-215950.69,-215950.69,0,-215950.69,,CA7565662045,B6R2RY3,756566204,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NCB8PP305,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,CURRENCY EXCHANGE INTL CORP,.,EQUITIES,CAD,1,CAD,23714,451040.28,451040.28,17.25,17.25,409066.5,409066.5,0,0,409066.5,0,,-41973.78,-41973.78,0,-41973.78,,US23131B3078,B8PP306,23131B307,,YVRF6001002,USD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NCB96G8X7,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,EQUITIES - UNITED STATES - FINANCIALS SERVICES,BROOKFIELD PPTY PARTNERS LP,LP UNIT,EQUITIES,CAD,1,CAD,28197,673293.51,673293.51,25.17,25.17,709718.49,709718.49,0,0,709718.49,0,,36424.98,36424.98,0,36424.98,,BMG162491077,B96G8X3,G16249107,,YVRF6001002,USD,LTD PART,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NCBCBHZ38,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - TECHNOLOGY,EQUITIES - CANADA - TECHNOLOGY - TECHNOLOGY HARDWARE & EQUIPMENT,BLACKBERRY LIMITED,.,EQUITIES,CAD,1,CAD,71584,657187.54,657187.54,6.9,6.9,493929.6,493929.6,0,0,493929.6,0,,-163257.94,-163257.94,0,-163257.94,,CA09228F1036,BCBHZ31,09228F103,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NCBD4HJ08,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - ENERGY,EQUITIES - CANADA - ENERGY - ENERGY,RAZOR ENERGY CORP,.,EQUITIES,CAD,1,CAD,174537,464426.55,464426.55,1.16,1.16,202462.92,202462.92,2412.96,2412.96,204875.88,0,,-261963.63,-261963.63,0,-261963.63,,CA75525M1095,BD4HJ00,75525M109,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NCBF2KYG6,US,UNITED STATES,EQUITIES,EQUITIES - UNITED STATES,EQUITIES - UNITED STATES - TECHNOLOGY,EQUITIES - UNITED STATES - TECHNOLOGY,MAXAR TECHNOLOGIES INC,.,EQUITIES,CAD,1,CAD,37852,381522.91,381522.91,10.44,10.44,395174.88,395174.88,0,0,395174.88,0,,13651.97,13651.97,0,13651.97,,US57778K1051,BF2KYG6,57778K105,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NCBFNJQX8,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - FINANCIALS SERVICES,EQUITIES - CANADA - FINANCIALS SERVICES - INSURANCE,TRISURA GROUP LTD,NEW,EQUITIES,CAD,1,CAD,5000,132000,132000,31.33,31.33,156650,156650,0,0,156650,0,,24650,24650,0,24650,,CA89679A2092,BFNJQX3,89679A209,TSU,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NCBH42KD2,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - ENERGY,EQUITIES - CANADA - ENERGY - ENERGY,PIPESTONE ENERGY CORP,.,EQUITIES,CAD,1,CAD,494125,1390105.16,1390105.16,1.14,1.14,563302.5,563302.5,0,0,563302.5,0,,-826802.66,-826802.66,0,-826802.66,,CA7241121077,BH42KD3,724112107,,YVRF6001002,CAD,,,1,,,0
975660017,VERTEX VALUE FD,M,975560017,VERTEX VALUE FD- VER,10/28/2019,NCBH4KPP0,CA,CANADA,EQUITIES,EQUITIES - CANADA,EQUITIES - CANADA - ENERGY,EQUITIES - CANADA - ENERGY - ENERGY,PIPESTONE ENERGY CORP,WT 19-MAY-2021,EQUITIES,CAD,1,CAD,4691669,66420.94,66420.94,0.025,0.025,117291.73,117291.73,0,0,117291.73,0,,50870.79,50870.79,0,50870.79,,CA7241121150,BH4KPP4,724112115,,YVRF6001002,CAD,,,1,,,0
